"ko","en"
"(당대표당의장)비서실장","Chief Secretary / Chief-of-Staff (to the Chairperson)"
"(상임)고문","(Standing) Advisor"
"(중앙)사무처","(Central) Secretariat"
"1등서기관","First Secretary"
"1회비자","Single Visa"
"2등서기관","Second Secretary"
"2회비자","Double Visa"
"3등서기관","Third Secretary"
"5분자유발언","Five-Minute Free Speech"
"AAPP(평화를위한아시아의회연합)","Association of Asian Parliaments for Peace"
"ABU(아시아태평양방송연맹)","Asia-Pacific Broadcasting Union"
"AC","AIR CANADA(에어 캐나다)"
"ADB(아시아개발은행)","Asian Development Bank"
"AF","AIR FRANCE(에어 프랑스)"
"AFPPD(아시아인구개발의원포럼)","Asian Forum of Parliamentarians of Population and Development"
"AIPO(아세안의회기구)","ASEAN Inter-Parliamentary Organization"
"AIPO(아세안의회기구)","ASEAN Inter-Parliamentary Organization"
"AIPU(아랍의회연맹)","Arab Inter-Parliamentary Union"
"ANOC(세계올림픽연합회)","Association of National Olympic Committees"
"APDC(아시아·태평양개발센타)","Asian Pacific Development Center"
"APEC(아시아태평양경제협력체)","Asia-Pacific Economic Cooperation"
"APMPD(아시아인구개발의원회의)","Asian Parliamentarians' Meeting on Population and Development"
"APPCED(亞太환경개발회의)","Asia-Pacific Parliamentarians Conference of Environment and Development"
"APPF(아시아·태평양의회포럼)","Asia-Pacific Parliamentary Forum"
"APPF(아시아태평양의회포럼)","Asia-Pacific Parliamentary Forum"
"APPU(아시아·태평양국회의원연맹)","Asian-Pacific Parliamentarians' Union"
"APPU(아시아태평양국회의원연맹)","Asian-Pacific Parliamentarians' Union"
"ASEAN(동남아국가연합)","Association of South East Asian Nations"
"ASEM(아시아유럽정상회의)","Asia-Europe Meeting"
"ASEP(아시아유럽의회동반자회의)","Asia-Europe Parliamentary Partnership"
"ASGP(의회사무총장협회)","Association of Secretaries General of Parliaments"
"BIS(국제결제은행)","Bank for International Settlements"
"BWC(생물무기금지협약)","Biological Weapons Convention"
"CCC(관세협력이사회)","Customs Cooperation Council"
"CE(구주평의회구주협의회)","Council of Europe"
"CHR(유엔인권위원회)","Commission on Human Rights"
"CIQ(세관출입국관리및검역)","Customs, Immigration and?Quarantine"
"CJ","CHINA NORTHERN AIRLINES(중국북방항공)"
"CND(유엔마약위원회)","Commission on Narcotic Drugs"
"CSCM회의","Inter-ParliamentInter-Parliamentary Conference on Security and Cooperation in the Mediterranean"
"CSIS(국제전략문제연구소)","Center for Strategic & International Studies"
"CSW(유엔여성지위위원회)","Commission on the Status of Women"
"CTBT(포괄적핵실험금지조약)","Comprehensive Nuclear Test Ban？?Treaty"
"CWC(화학무기금지조약)","Chemical Weapons Convention"
"CX","CATHAY PACIFIC(케세이 퍼시픽, 홍콩)"
"DL","DELTA AIRLINES(델타항공, 미국)"
"EBRD(유럽부흥개발은행)","European Bank for Reconstruction and Development"
"EP(구주의회)","European Parliament"
"ESCAP(아시아태평양경제사회위원회)","Economic and Social Commission for Asia and the Pacific"
"EU(유럽연합)","European Union"
"FAO(유엔식량농업기구)","Food and Agriculture Organization of the United Nation"
"FIFA(국제축구연맹)","Federation of International Football Associations"
"GATT(관세및무역에관한일반협정)","General Agreement on Tariffs？?and Trade"
"GOPAC(반부패국제의원기구회의)","Global Organization of Parliamentarians Against Corruption"
"GTR(정부항공운송의뢰)","Government Transportation Request"
"HY","UZBEKISTAN AIRWAYS(우즈벡항공)"
"IAEA(국제원자력기구)","International Atomic Energy Agency"
"IAF(국제우주항행연맹)","International Astronautical Federation"
"IAU(국제천문연맹)","International Astronomical Union"
"IBA(국제변호사협회)","International Bar Association"
"IBRD(국제부흥개발은행)","?International Bank for Reconstruction and Development"
"ICAO(국제민간항공기구)","International Civil Aviation Organization"
"ICC(국제상공회의소)","International Chamber of Commerce"
"ICJ(유엔국제사법재판소)","International Court of Justice"
"ICRC(국제적십자위원회)","International Committee of the Red Cross"
"ICS(국제저작권협회)","International Copyrights Society"
"ICS(국제해운회의소)","International Chamber of Shipping"
"IDA(국제개발협회)","International Development Association"
"IEA(국제에너지기구)","International Energy Agency"
"IFAD(국제농업개발기금)","International Fund for Agricultural Development"
"IFC(국제금융공사)","International Finance Corporation"
"IHO(국제수로기구)","International Hydrographic Organization"
"ILO(국제노동기구)","International Labour Organization"
"IMF(국제통화기금)","International Monetary Fund"
"IMO(국제해사기구)","International Maritime Organization"
"INTELSAT(국제전기통신위성기구)","International Telecommunication Satellite Organization"
"IOC(국제올림픽위원회)","International Olympic Committee"
"IOM(국제이민기구)","International Organization for Migration"
"IPAAF(국제농림어업의원연맹회의)","International Parliamentarians' Association for Agriculture, Forestry and Fisheries"
"IPAIT(국제정보통신의원연맹회의)","International Parliamentarians' Association for Information Technology"
"IPSA(국제정치학회)","International Political Science Association"
"IPU(국제의회연맹)","Inter-Parliamentary Union"
"IPU(국제의회연맹)","Inter-Parliamentary Union"
"IPU사무차장","Deputy Secretary General of the Inter-Parliamentary Union"
"IPU사무총장","Secretary General of the Inter-Parliamentary Union"
"IPU이사회부의장","Vice-President of the Inter-Parliamentary Council"
"IPU이사회의장","President of the Inter-Parliamentary Council"
"IPU집행위원","Member of the IPU Executive Committee"
"IPU총회의장","President of the Inter-Parliamentary Assembly"
"ITC(국제무역센터)","International Trade Centre"
"ITU(국제전기통신연합)","International Telecommunication Union"
"IUA(국제학술원연합)","International Union of Academies"
"JD","JAPAN AIR SYSTEM(제팬 에어 시스템)"
"JL","JAPAN AIRLINES(일본항공)"
"KATUSA(미육군파견한국군인)","Korean Augmentation Troops to US Army"
"KE","KOREAN AIR(대한항공)"
"KEDO(한반도에너지개발기구)","Korean Peninsula Energy Development Organization"
"KL","KLM ROYAL DUTCH AIRLINES(네덜란드항공)"
"LH","LUFTHANSA GERMAN AIRLINES(독일항공)"
"MAI(다자간투자협정)","Multilateral Agreement on Investment"
"MH","MALAYSIA AIRLINES(말레이지아항공)"
"MIGA(국제투자보증기구)","Multilateral Investment Guarantee Agency"
"MU","CHINA EASTERN AIRLINES(중국동방항공)"
"NAFTA(북미자유무역협정)","North American Free Trade Agreement"
"NATO(북대서양조약기구)","North Atlantic Treaty Organization"
"NH","ALL NIPPON AIRWAYS(전 일본공수)"
"NPT(핵확산금지조약)","Nuclear Non-Proliferation Treaty"
"NW","NORTHWEST AIRLINES(노스웨스트, 미국)"
"OAG(정규항공사운행안내서)","Official Airline Guides"
"OECD(경제협력개발기구)","Organization for Economic Cooperation and Development"
"OPEC(석유수출국기구)","Organization of the Petroleum Exporting Countries"
"OSCE(유럽안보협력기구)","Organization for Security and Cooperation in Europe"
"OZ","ASIANA AIRLINES(아시아나항공)"
"PCT(특허협력조약)","Patent Cooperation Treaty"
"PR","PHILIPPINE AIRLINES(필리핀항공)"
"SOFA(한미주둔군지위협정)","Status of Forces Agreement"
"SQ","SINGAPORE AIRLINES(싱가폴항공)"
"SU","AEROFLOT RUSSIAN INTL(러시아항공)"
"TG","THAI AIRWAYS INTL(타이항공)"
"TV토론","TV Debate"
"UA","UNITED AIRLINES(유나이티드항공, 미국)"
"UCC(세계저작권협약)","Universal Copyright Convention"
"UN(국제연합)","United Nations"
"UNESCO(유엔교육과학문화기구)","UN Educational, Scientific and Cultural Organization"
"UNIDO(유엔공업개발기구)","UN Industrial DevelopmUN Industrial Development Organization"
"UPU(만국우편연합)","Universal Postal Union"
"VN","VIETNAM AIRLINES(베트남항공)"
"VP","VASP BRAZILIAN AIRLINES(바스피브라질)"
"WBG(세계은행)","World Bank Group"
"WHO(세계보건기구)","World Health Organization"
"WIPO(세계지적소유권기구)","World Intellectual Property Organization"
"WMO(세계기상기구)","World Meteorological Organization"
"WTO(세계관광기구)","World Tourism Organization"
"WTO(세계무역기구)","World Trade Organization"
"YMCA(기독청년회의)","Young Men's Christian Association"
"YWCA(기독교여자청년회의)","Young Women's Christian Association"
"가서명","Initialing"
"가정법원","Family Court"
"간사","Ranking Member / Executive Member / Vice Chairman"
"간사","Executive Member"
"간사장","Chief Executive Member"
"간사장","Chief Executive Member"
"감사관","Inspector General"
"감사담당관","Inspection Officer"
"감사원","Board of Audit and Inspection"
"감정인","Expert / Appraiser"
"개의(開議)","Opening of Meeting"
"개인열람실","Individual Study Room"
"개정","Amendment / Revision"
"개표","Vote Tallying / Ballot(Vote) Counting"
"개표","Vote Tallying / Vote Counting"
"개회","Opening of Session"
"개회식","Opening Ceremony"
"거시경제분석팀","Macro-Economic Analysis Team"
"건설교통부","Ministry of Construction & Transportation"
"건설교통위원회","Construction and Transportation Committee"
"검사","Prosecutor"
"검찰청","Public Prosecutor's Office"
"결산","Settlement of Accounts"
"결선투표","Runoff (primary)"
"결선투표","Final Vote / Decisive Vote / Runoff primary"
"결의안","Draft Resolution"
"결정투표","Casting Vote"
"겸직","Concurrent Office"
"경력직공무원","Public Officials in Career Service"
"경위","Security Guard / Security Officer"
"경위과","Security Division"
"경제법제과","Economic Legislation Division"
"경제보좌관","Advisor to the President for Economic Policy"
"경제분석실","Economic Analysis Office"
"경제사업평가팀","Economic Programs Evaluation Team"
"경제예산분석팀","Economic Budget Analysis Team"
"경제위원회","Economic Committee"
"경제정책분석팀","Economic Policy Analysis Team"
"경찰청","National Police Agency"
"계약직","Contracted Service"
"고등법원","High Court(s)"
"고등판무관","High Commissioner"
"고령화및미래사회위원회","Presidential Committee on Aging and Future Society"
"고서","Old Books"
"고속도로관리공단(HI-MAN)","Highway Management Corporation"
"고속철도건설공단(KTX)","Korea Train Express"
"고용직","Labor Service"
"고정표","Solid Votes / Loyal Votes"
"공개토론","Public Debate"
"공동성명위원회","Joint Communique Committee"
"공무원연금관리공단(GEPCO)","Government Employees Pension Corporation"
"공보관","Chief Spokesperson"
"공보기획관","Public Information Planning Officer"
"공사","Minister"
"공사참사관","?Minister-Counsellor"
"공식방문","Official Visit"
"공적자금국정조사특위","Special Committee on Investigation of State Affairs on Public Funds"
"공정거래위원회","Fair Trade Commission"
"공천","Nomination / Public Nomination"
"공청회","Public Hearing"
"공포","Promulgation"
"공항이용권(공항세)","Passenger Service Ticket (Charge)"
"공항출영송","Welcome and Farewell at the Airport"
"과거사진상규명에관한특위","Special Committee on Fact Finding on Past Incidents"
"과장","Director"
"과테말라(Republic of Guatemala)의회","Congress of the Republic"
"과학기술부","Ministry of Science & Technology"
"과학기술정보통신위원회","Science, Technology, Information and Telecommunications Committee"
"과학기술정책연구원(STEPI)","Science and Technology Policy Institute"
"관련위원회","Related Committee"
"관리관(1급)","Grade 1 / Grade-I Official"
"관리국","Management and Maintenance Bureau"
"관리이사회","Governing Council"
"관세청","Korea Customs Service"
"관용여권","Official Passport"
"광역시","Metropolitan City"
"광주과학기술원(GIST)","Gwangju Institute of Science & Technology"
"교섭단체","Negotiation Group"
"교섭단체대표의원","Floor Leader of Negotiation Group / The Representative Assemblyman of Negotiation Group"
"교섭단체정책연구위원","Policy Researcher of Negotiation Group"
"교수","Professor(s)"
"교육위원회","Education Committee"
"교육인적자원부","Ministry of Education and Human Resources Development"
"교육혁신위원회","Presidential Committee on Education Innovation"
"교육훈련과","Education & Training Division"
"교차투표","Cross Voting"
"교통개발연구원(KOTI)","Korea Transport Institute"
"교통안전공단(KOTSA)","Korea Transportation Safety Authority"
"교환각서","Exchange of Notes"
"구","Gu"
"구두동의","Verbal / Oral Motion"
"구주의회(The European Parliament : EP) 소속 정치그룹","유럽국민당그룹 : Group of the European People's Party (Christian Democrats) and European Democrats (PPE-DE)"
"구주협의회확대의원총회","Enlarged Parliamentary Assembly of the Council of Europe"
"구청장(비자치구)읍장면장동장이장","Head of Gu,Eup,Myon, Dong,Ri"
"구청장(자치구)","Head of Gu (District)"
"국가과학기술자문회의","Presidential Advisory Council for Science and Technology"
"국가균형발전위원회","Presidential Committee on Balanced National Development"
"국가보훈처","Ministry of Patriots and Veterans Affairs"
"국가안보보좌관","Senior Advisor to the President for National Security"
"국가안전보장회의","National Security Council"
"국가인권위원회","National Human Rights Commission of Korea"
"국가정보원","National Intelligence Service"
"국립공원관리공단(NPA)","National Parks Authority"
"국립보건원(NIH)","National Institute of Health"
"국립천문대","National Astronomical Observatory"
"국무위원출석요구","Request for the Attendance of / Summoning of Cabinet Ministers at the Parliamentary Meeting"
"국무조정실","Office for Government Policy Coordination"
"국무총리","Prime Minister"
"국무총리비서실","Prime Minister's Secretariat"
"국무회의","Cabinet Meeting / State Council"
"국민건강보험공단(NHIC)","National Health Insurance Corporation"
"국민경제자문회의","National Economic Advisory Council"
"국민고충처리위원회","Ombudsman of Korea"
"국민연금관리공단(NPC)","National Pension Corporation"
"국민통합21","National Alliance 21"
"국민투표","Referendum"
"국방보좌관","Advisor to the President for National Defense"
"국방부","Ministry of National Defense"
"국방위원회","National Defense Committee"
"국사편찬위원회","National Institute of Korea History"
"국세청","National Tax Service"
"국장","Director General (of Bureau)"
"국적항공사","National Carrier"
"국정감사","Inspection of State Administration"
"국정감사및조사에관한법률","Act Relating to the Inspection and？？ Investigation of State Administration"
"국정교과서주식회사","National Textbook Co. Ltd."
"국정기록비서관","Secretary to the President for Records and Documents"
"국정상황팀","Information and Policy Monitoring Team"
"국정조사","Investigation of State Administration"
"국정홍보처","Government Information Agency"
"국제국","Inter-Parliamentary Affairs Bureau"
"국제기구과","Inter-Parliamentary Organizations Division"
"국제기구및통일자료실","International Organization & Unification？aterials Reading Room"
"국제인도법준수위원회","Committee to Promote Respect for International Humanitarian Law"
"국제협력과","Inter-Parliamentary Relations Division"
"국제협력단(KOICA)","Korea International Cooperation Agency"
"국제회의참석(IPU)","To participate in the IPU Conference in Washington D.C. from April 14 to 17, 2004"
"국토연구원(KRIHS)","Korea Research Institute for Human Settlements"
"국회","National Assembly"
"국회","National Assembly"
"국회","National assembly"
"국회개혁특위","Special Committee on the National Assembly Reform"
"국회경비대","National Assembly Security Guards"
"국회공무원교육","Training for National Assembly Staff"
"국회기록보존소","National Assembly Archive"
"국회도서관","National Assembly Library"
"국회도서관","National Assembly Library"
"국회도서관","National Assembly Library"
"국회도서관법","National Assembly Library Act"
"국회법","National Assembly Act"
"국회법","National Assembly Act"
"국회부의장","Vice Speaker"
"국회사무처","National Assembly Secretariat"
"국회사무처","National Assembly Secretariat"
"국회사무처","National Assembly Secretariat"
"국회사무처법","National Assembly Secretariat Act"
"국회스카우트의원연맹","The Korea Scout Parliamentary Association"
"국회스카우트의원연맹","Korea Scout Parliamentary Association"
"국회에서의증언감정등에관한법률","Act Relating to Testimony,？?Appraisal, etc. Before the National Assembly"
"국회예산정책처","National Assembly Budget Office (NABO)"
"국회예산정책처","National Assembly Budget Office (NABO)"
"국회예산정책처","National Assembly Budget Office (NABO)"
"국회예산정책처법","National Assembly Budget Office Act"
"국회운영위원회","House Steering Committee"
"국회의사당","National Assembly Building"
"국회의사당","National Assembly Building"
"국회의원","Member of the National Assembly"
"국회의원","Member of the National Assembly / Assemblyman,Assemblywoman / Lawmaker / M.P.(Member of Parliament) / Congressman,Congresswoman / Legislator / Representative"
"국회의원","Member of the National Assembly"
"국회의원당선인","National Assembly Member-elect / Assemblyman(woman)-elect / Lawmaker-elect / Legislator-elect"
"국회의원연구단체","Members' Study Group"
"국회의원외교활동운영협의회","Annual Meeting for Parliamentary Diplomacy"
"국회의원인권위원회","Committee of the Human Rights of Parliamentarians"
"국회의원입법연구활동지원","Support for the Legislative Research Activities of National Assembly Members"
"국회의장","Speaker (of the National Assembly)"
"국회의장","Speaker of the National Assembly"
"국회의장","Speaker of the National Assembly"
"군","Gun (County)"
"군사법원","Military Court"
"군수","Head of Gun (County)"
"권력분립","Separation of Powers"
"궐원통지","Notification of Vacancy"
"귀빈실","VIP Lounge / VIP Suites?(VIP?Very Important Person)"
"규약","Covenant"
"규정","Provision(s)"
"규정","Statute"
"그리스(Greece / Hellenic Republic)의회","Parliament"
"근로농민당(LFP)","Labor Farmers' Party"
"근로복지공단(KLWC)","Korea Labor Welfare Corporation"
"금권선거","Bankrolled Election / Moneyed Election"
"금융감독원(FSS)","Financial Supervisory Service"
"금융감독위원회","Financial Supervisory Commission"
"기권","Abstention"
"기권","Abstention"
"기내물품판매","In-flight Duty Free Sales"
"기내반입휴대물","Carry-on Items"
"기내식","In-flight Meals"
"기능직","Technical Skill Service"
"기록심의관","Records Counsel"
"기명(무기명)투표","Open (Secret) Ballot"
"기명무기명전자호명투표","Open,Secret,Electronic,Roll-call Vote"
"기상청","Meteorological Administration"
"기술신용보증기금(KOTEC)","Korea Technology Credit Guarantee Fund"
"기업은행(IBK)","Industrial Bank of Korea"
"기장","Pilot"
"기초과학지원연구원(KBSI)","Korea Basic Science Institute"
"기획감사담당관","Planning, Budget & Audit Officer"
"기획관리관","Deputy Director of NABO for Planning & Management"
"기획관리관","Deputy Librarian of the National Assembly for Planning & Management"
"기획예산담당관","Planning & Budget Officer"
"기획예산처","Ministry of Planning and Budget"
"기획조정실","Planning and Coordination Office"
"기획편성담당관","Broadcasting Programming Officer"
"기획협력팀","Planning & Cooperation Team"
"기후변화협약대책특위","Special Committee on Climate Change"
"긴급명령","Emergency Orders"
"긴급재정경제명령","Emergency Financial and Economic Orders"
"긴급현안질문","Questions on Emergency Matters"
"김포세관","Gimpo Customs"
"김포출입국관리사무소","Gimpo Immigration Office"
"남녀동반자그룹","Gender Partnership Group"
"남북관계발전지원특위","Special Committee on Improving Inter-Korean Relations"
"남승무원","Steward"
"남아프리카 의회 관련 용어","남아프리카공화국(Republic of South Africa)의회 : Parliament"
"네델란드 의회 관련 용어","네덜란드(Kingdom of the Netherlands)의회 : States General"
"노동부","Ministry of Labor"
"노르웨이(Kingdom of Norway)의회","Parliament"
"노사정위원회","Korea Tripartite Commission"
"노인표","Senior Citizens' Votes"
"노조표","Labor Votes"
"농림부","Ministry of Agriculture & Forestry"
"농림해양수산위원회","Agriculture, Forestry, Maritime Affairs and Fisheries Committee"
"농수산물유통공사(AFMC)","Agricultural & Fishery Marketing Corporation"
"농어업농어촌특별대책위원회","Presidential Commission on？?Agriculture, Fishery and Rural Policies"
"농어업농어촌특별대책위원회","Presidential Committee on Agriculture, Fishery and Rural Policies"
"농업기반공사","Korea Agricultural & Rural Infrastructure Corporation"
"농촌경제연구원(KREI)","Korea Rural Economic Institute"
"농촌진흥청","Rural Development Administration"
"농촌표","Rural Votes"
"농협중앙회(NACF)","National Agricultural Cooperative Federation"
"뉴질랜드(New Zealand)의회","House of Representatives / Parliament"
"다수결원칙","Majority Rule"
"다수당","Majority Party"
"단독판사","Single Judge Court"
"단수여권","Single Passport"
"단원제","Unicameral Legislature / One-house System"
"단행본","Monograph / Monographic Publication"
"담당(계장)","Assistant Director / Deputy Director"
"당무위원","Executive Member"
"당수/리더(외국사례)","Leader / Chief / Executive Chairman"
"당원","Party Member / Member of the Party"
"당직","Party Post"
"당직개편","Party Personnel Reshuffle"
"당직자","Party Officials"
"대리대사","Charg?d'Affaires ad hoc or en pied"
"대리투표","Proxy Voting"
"대법관","Justice(s) of the Supreme Court"
"대법원","The Supreme Court of Korea"
"대법원장","Chief Justice of the Supreme Court"
"대변인","Presidential Spokesperson"
"대변인","Spokesperson (Spokesman / Spokeswoman)"
"대변인팀","Presidential Spokesperson's Team"
"대사","Ambassador"
